Date,recession,debt,color,stocks,restaurant,portfolio,inflation,housing,dow jones,revenue,economics,credit,markets,return,unemployment,money,religion,cancer,growth,investment,hedge,marriage,bonds,derivatives,headlines,profit,society,ring,wall street,banks,greed,bribery,insider trading,bankruptcy,recession,debt,color,stocks,restaurant,portfolio,inflation,housing,dow jones,revenue,economics,credit,markets,return,unemployment,money,religion,cancer,growth,investment,hedge,marriage,bonds,derivatives,headlines,profit,society,ring,wall street,banks,greed,bribery,insider trading,bankruptcy,Datetimes
3/13/16,1,8,60,5,72,3,5,41,13,18,2,83,2,16,7,76,12,48,17,9,4,20,8,9,17,84,46,65,10,26,1,2,2,62,5,12,18,19,18,2,2,18,2,4,8,31,9,15,4,7,2,9,1,2,1,2,1,8,8,13,10,11,10,8,1,3,1,19,3/13/16
3/20/16,1,7,60,5,75,3,5,43,11,18,2,83,2,15,7,76,12,47,16,10,4,20,7,8,18,84,45,61,10,34,1,2,2,62,6,17,19,25,40,2,3,26,4,7,4,53,11,17,5,8,4,10,2,2,1,2,1,3,17,8,10,12,14,14,1,4,6,18,3/20/16
3/27/16,1,7,59,5,74,3,5,45,12,19,3,86,2,16,7,80,12,48,17,10,4,21,7,9,17,89,46,60,10,29,1,3,2,66,7,15,33,17,43,2,6,26,5,8,11,48,11,20,11,12,4,16,2,2,1,3,1,6,13,15,16,19,19,17,0,11,2,31,3/27/16
4/3/16,1,8,60,5,73,3,6,46,11,20,3,88,2,17,7,81,12,50,18,11,4,21,9,10,16,93,48,65,9,34,1,2,2,73,8,21,29,19,39,3,2,28,4,9,10,64,10,25,9,12,4,15,2,2,1,4,1,6,15,21,14,16,17,28,1,5,2,23,4/3/16
4/10/16,1,8,60,5,73,3,6,46,11,23,3,88,2,19,8,83,12,50,18,11,4,21,9,10,17,94,47,68,10,42,1,2,2,71,6,27,26,19,38,2,6,24,8,6,6,54,11,26,14,10,3,12,2,2,1,5,1,9,17,13,22,28,24,38,0,9,4,34,4/10/16
4/17/16,1,8,60,5,70,3,6,45,11,21,3,84,2,17,7,83,12,49,18,10,4,20,9,9,16,90,46,69,9,32,1,3,2,69,6,20,38,17,35,1,1,20,6,10,7,44,8,22,8,12,3,15,2,2,1,3,1,8,14,23,13,17,22,26,0,2,3,27,4/17/16
4/24/16,1,8,59,5,71,3,6,44,10,17,3,83,2,14,7,81,12,47,19,10,4,21,8,13,17,90,48,68,9,28,1,2,2,65,6,21,25,25,41,1,2,24,5,6,11,62,7,17,7,13,3,13,2,2,1,3,1,4,31,19,20,23,25,15,0,5,3,22,4/24/16
5/1/16,1,8,61,5,78,3,6,45,11,16,3,84,2,13,7,81,12,48,18,10,4,20,8,13,17,87,46,69,9,29,1,2,5,70,8,22,17,16,35,5,3,34,5,6,6,57,6,20,14,12,2,14,2,2,1,3,1,9,17,46,10,16,24,21,1,4,2,30,5/1/16
5/8/16,1,8,58,5,79,3,5,41,10,15,3,84,2,13,7,88,11,48,17,9,4,21,8,9,16,82,46,64,9,50,1,2,2,67,7,29,25,18,41,4,2,24,3,5,8,65,11,20,8,44,2,15,2,2,2,3,1,9,18,32,21,21,22,73,1,7,4,27,5/8/16
5/15/16,1,7,59,4,74,3,5,43,10,15,2,86,2,13,7,89,11,49,17,9,4,20,7,8,18,76,47,64,9,32,1,2,5,65,4,29,24,16,36,1,6,25,4,7,5,51,9,24,7,15,3,16,2,2,1,2,1,5,21,21,19,21,18,31,1,5,12,27,5/15/16
5/22/16,1,7,56,4,73,2,4,41,10,14,2,82,2,13,7,83,10,47,15,8,4,19,7,7,15,72,43,64,9,29,1,2,3,63,8,28,27,12,41,5,4,29,3,7,5,54,13,22,8,12,3,13,2,2,1,3,1,5,25,25,15,17,17,22,0,5,2,20,5/22/16
5/29/16,1,6,55,4,78,2,4,40,8,12,2,86,2,12,7,85,10,45,15,8,4,21,7,5,16,67,40,63,8,29,1,2,2,56,4,19,20,11,38,3,1,30,3,10,4,50,6,19,15,14,3,13,2,2,1,4,1,5,22,42,16,28,21,24,0,5,3,21,5/29/16
6/5/16,1,8,57,4,73,2,4,42,10,13,2,84,2,12,7,80,9,47,15,9,4,20,7,6,16,70,41,62,9,30,1,2,2,64,5,30,17,17,32,1,2,23,4,7,5,53,13,23,8,10,3,14,2,2,1,3,1,4,8,19,8,15,17,25,1,2,3,25,6/5/16
6/12/16,1,6,54,4,80,2,4,40,9,13,1,86,2,12,7,78,11,44,14,9,4,21,6,5,19,68,37,62,15,29,1,2,3,61,4,16,28,23,35,2,5,19,2,6,5,48,11,15,7,9,2,11,1,2,1,2,1,11,15,11,7,19,15,11,2,2,3,15,6/12/16
6/19/16,1,7,54,6,79,2,4,42,23,13,1,84,3,12,7,86,8,46,14,8,4,20,6,6,16,71,39,64,13,30,1,1,3,63,7,26,22,31,28,1,3,24,11,5,6,62,17,16,6,12,2,9,1,3,1,2,1,7,18,18,8,21,17,21,0,8,7,25,6/19/16
6/26/16,1,7,53,5,76,2,4,40,24,13,1,90,3,12,7,80,8,47,13,9,4,20,6,5,17,68,37,62,9,32,1,2,2,62,14,17,24,30,31,1,3,22,15,7,5,68,17,13,5,10,2,10,2,3,1,2,1,8,13,15,8,14,8,15,1,5,2,19,6/26/16
7/3/16,0,6,52,4,82,2,4,39,11,11,1,88,2,11,7,80,8,44,13,8,4,20,6,5,19,62,38,62,11,35,1,2,2,56,8,16,15,27,27,2,2,25,4,5,4,48,16,14,8,8,2,8,1,3,1,2,1,10,23,13,8,12,9,21,1,9,3,18,7/3/16
7/10/16,0,6,54,5,80,2,4,41,14,13,1,89,2,12,7,77,8,46,14,9,4,20,6,5,19,67,40,63,9,34,1,1,2,62,0,15,19,12,25,4,3,23,5,7,4,57,12,11,6,7,3,8,2,2,1,2,1,6,11,24,19,13,17,19,1,3,1,15,7/10/16
7/17/16,0,7,55,5,83,2,3,43,12,13,1,87,2,12,7,79,9,47,14,9,4,20,6,5,18,69,41,64,9,33,1,1,2,65,3,12,23,9,24,1,4,20,4,7,5,47,10,14,9,8,1,13,1,3,1,2,1,13,8,13,8,11,20,22,1,6,3,16,7/17/16
7/24/16,0,8,54,5,82,2,3,43,11,12,1,87,2,12,7,79,8,45,14,9,4,20,6,5,18,70,42,66,11,40,1,2,2,68,4,24,18,13,26,1,4,23,2,6,3,45,13,16,10,7,2,13,1,3,1,2,0,13,13,17,11,12,21,32,0,1,3,14,7/24/16
7/31/16,0,7,53,4,80,2,3,41,10,12,1,91,2,12,7,76,8,45,13,9,4,20,6,5,17,66,42,65,10,33,1,2,2,64,3,17,18,15,25,1,4,20,2,5,6,48,16,16,9,8,2,11,1,2,1,2,1,8,10,18,11,15,21,21,1,5,3,23,7/31/16
8/7/16,0,6,51,4,77,2,3,41,10,11,2,87,2,11,6,74,8,42,14,8,4,19,7,4,18,66,39,60,9,29,1,1,2,63,2,8,25,14,27,3,3,24,3,5,7,52,12,14,8,9,2,10,3,2,1,2,1,12,12,12,9,11,18,15,1,1,1,23,8/7/16
8/14/16,0,6,50,4,77,2,3,43,9,12,2,86,2,11,6,72,8,41,13,8,3,18,6,4,16,68,40,60,9,28,1,2,2,58,1,14,16,13,29,2,5,29,3,5,8,49,12,18,7,9,2,12,1,3,1,2,1,13,20,15,11,7,21,20,0,3,5,13,8/14/16
8/21/16,0,7,54,4,74,2,4,42,9,12,2,84,2,12,6,71,10,44,14,8,3,18,7,6,18,74,42,62,11,30,1,1,2,59,2,17,13,19,26,3,4,27,3,8,8,49,10,13,8,8,3,11,1,3,1,2,1,13,24,13,12,8,14,29,1,3,1,17,8/21/16
8/28/16,1,6,56,4,71,2,4,39,8,12,3,85,2,13,6,75,11,44,15,8,4,19,7,8,20,78,43,61,9,29,1,2,1,62,3,13,15,18,22,3,4,25,2,6,6,43,12,12,6,8,3,9,2,3,1,2,1,19,22,19,7,18,16,19,1,4,3,21,8/28/16
9/4/16,1,6,56,4,71,2,4,36,7,12,3,82,2,13,6,76,11,47,16,8,4,18,8,9,19,89,45,62,9,31,1,2,2,59,3,14,19,16,20,3,3,22,3,4,6,44,11,21,7,10,1,11,2,3,1,2,1,10,8,25,15,15,18,24,3,4,2,19,9/4/16
9/11/16,1,7,66,4,67,2,4,37,10,14,3,82,2,13,6,75,12,50,17,9,4,19,9,12,19,87,47,67,10,26,1,2,2,67,6,17,39,21,26,1,9,28,3,3,7,48,14,17,5,9,4,15,2,3,1,2,1,10,23,28,14,11,19,19,0,4,2,24,9/11/16
9/18/16,1,7,61,4,69,2,5,37,9,14,3,82,2,14,6,74,12,51,17,9,4,19,9,14,20,85,46,63,9,26,1,2,2,59,6,19,13,18,29,1,4,21,3,5,12,68,17,17,8,11,3,16,2,4,1,2,1,10,23,19,12,14,15,16,2,6,4,17,9/18/16
9/25/16,1,8,61,4,66,2,5,37,9,14,3,82,2,13,6,74,13,50,17,9,4,19,9,15,21,91,45,60,11,28,1,3,2,63,6,22,25,28,23,2,4,25,4,6,10,49,12,21,9,10,3,12,1,3,1,2,1,17,17,12,14,12,21,17,2,4,1,22,9/25/16
10/2/16,1,7,61,4,66,2,5,35,8,14,3,82,2,14,6,73,13,55,17,9,4,19,9,16,20,88,44,67,10,30,1,2,2,61,2,15,20,18,26,1,3,20,3,3,8,52,11,27,6,11,3,28,2,3,1,2,1,19,13,13,16,13,17,23,0,3,3,19,10/2/16
10/9/16,1,8,60,4,69,2,5,35,8,15,3,83,2,14,6,72,13,55,17,9,4,19,8,14,21,90,45,64,10,35,1,2,2,59,6,16,23,12,23,2,7,19,3,6,9,53,18,25,7,11,3,21,2,3,1,2,0,5,30,15,11,16,26,27,0,4,1,16,10/9/16
10/16/16,1,9,61,5,69,2,5,36,8,15,3,83,2,15,6,74,12,53,17,9,4,19,8,15,23,89,45,62,10,30,1,2,2,58,3,14,23,18,34,2,8,23,3,9,7,47,12,24,11,14,4,17,2,3,1,2,1,8,19,19,17,18,25,39,0,4,1,13,10/16/16
10/23/16,1,8,62,5,65,3,5,36,8,15,3,79,2,14,7,73,13,51,18,10,4,19,9,16,22,90,46,66,10,26,1,2,2,57,9,20,25,15,25,1,5,24,2,10,9,41,8,17,7,11,3,13,2,3,1,2,1,13,17,12,13,20,14,20,0,6,0,22,10/23/16
10/30/16,1,7,58,5,65,2,5,36,8,14,3,82,2,14,7,72,12,49,17,9,4,19,9,13,23,88,44,65,11,30,1,2,2,58,6,12,23,15,22,3,2,24,2,6,8,56,14,17,5,11,3,15,2,3,1,2,0,5,29,18,12,18,24,25,1,5,1,23,10/30/16
11/6/16,1,9,57,10,62,2,5,33,42,13,3,75,4,12,7,74,13,42,16,9,4,25,8,10,31,84,41,60,14,37,1,2,2,56,4,14,19,42,25,1,3,19,26,5,7,47,35,13,6,14,2,12,1,2,1,2,1,3,32,13,12,14,31,25,1,4,1,7,11/6/16
11/13/16,1,8,59,7,66,3,6,37,12,14,3,82,2,13,7,75,13,48,18,10,4,21,10,13,37,91,47,69,11,26,1,2,2,58,3,11,21,26,31,2,7,23,7,9,11,62,14,22,14,13,3,13,2,3,1,3,1,3,32,20,19,16,22,13,1,3,2,20,11/13/16
11/20/16,1,6,56,5,66,2,5,28,10,10,2,78,2,12,6,71,12,40,14,7,3,17,7,7,22,68,38,78,8,27,1,1,2,46,3,9,18,24,30,2,6,19,6,7,7,56,16,16,10,14,5,12,2,3,1,2,1,8,17,17,11,20,24,19,2,3,2,17,11/20/16
11/27/16,1,8,59,6,61,3,6,36,10,14,3,85,2,15,8,77,14,46,18,10,3,18,9,11,22,91,44,76,9,26,1,2,2,56,5,17,23,26,28,1,4,21,4,11,12,53,12,17,8,13,4,13,2,3,1,2,1,8,19,14,18,19,23,17,2,9,1,15,11/27/16
12/4/16,1,8,60,6,63,3,6,36,11,14,3,82,2,14,7,79,14,45,19,10,3,18,10,12,21,93,45,76,9,26,1,2,3,54,5,19,24,30,33,2,8,25,4,8,9,58,14,24,10,10,3,13,2,3,1,2,1,9,23,19,22,18,21,22,0,7,5,19,12/4/16
12/11/16,1,7,61,6,64,3,6,32,13,14,3,83,2,16,7,77,13,44,17,9,3,17,9,13,18,81,44,78,9,25,1,2,2,53,4,12,25,24,24,2,7,17,8,9,8,57,9,18,6,10,3,14,2,3,1,2,1,4,25,18,19,23,16,18,0,6,4,21,12/11/16
12/18/16,0,5,57,5,73,2,4,28,13,10,2,82,2,14,7,74,11,40,13,7,3,16,6,6,17,62,39,79,8,27,1,2,2,47,3,16,12,18,31,3,3,19,4,5,5,64,16,14,10,10,3,13,1,3,1,2,1,8,10,16,18,18,13,18,0,6,3,16,12/18/16
12/25/16,0,5,56,5,84,2,3,30,11,9,1,83,2,17,8,76,10,40,11,6,3,17,5,2,16,54,35,81,8,34,1,1,1,46,1,14,21,22,34,2,3,16,3,7,4,43,17,24,8,10,4,12,1,3,1,2,1,18,12,24,18,23,19,29,0,5,2,20,12/25/16
1/1/17,0,7,56,6,71,2,4,37,11,11,2,91,2,17,9,83,10,42,15,9,3,19,6,5,19,71,41,71,9,34,1,1,2,57,4,14,20,23,27,0,2,21,4,10,8,56,17,28,9,11,2,11,2,3,1,2,1,7,29,20,13,14,18,25,2,5,0,16,1/1/17
1/8/17,1,8,59,7,69,3,5,39,11,14,3,86,2,17,9,80,11,46,17,9,3,18,7,8,18,80,44,68,9,26,1,2,2,59,5,17,20,23,27,2,4,25,4,7,11,56,14,28,10,10,2,11,2,4,1,2,1,16,9,7,15,13,13,23,0,3,4,18,1/8/17
1/15/17,1,9,58,6,72,2,5,40,10,15,3,86,2,20,9,83,13,46,19,10,3,19,8,10,21,84,45,71,9,30,1,2,2,59,3,18,19,21,28,2,4,30,2,11,7,54,12,25,8,9,3,11,2,3,1,2,1,12,27,24,15,17,20,20,1,5,2,19,1/15/17
1/22/17,1,9,58,8,73,3,5,40,18,17,3,85,2,22,9,86,13,48,19,10,3,20,9,11,21,95,47,71,10,25,1,2,2,61,3,16,14,27,31,2,5,21,8,8,17,50,12,30,8,10,3,13,2,3,1,3,1,11,15,15,20,15,19,20,1,4,2,20,1/22/17
1/29/17,1,8,60,8,74,3,5,43,16,19,3,93,2,22,9,86,16,48,19,11,4,20,9,11,25,96,48,77,12,30,1,2,2,61,6,15,18,28,28,3,3,21,9,7,10,39,14,24,9,9,4,12,2,3,1,2,1,6,19,18,12,23,18,13,1,5,3,21,1/29/17
2/5/17,1,8,59,7,69,3,5,40,11,20,3,87,2,20,8,82,12,47,19,11,3,20,9,11,22,96,48,80,10,26,1,3,2,59,4,14,26,21,28,2,6,21,5,12,9,55,11,23,9,11,3,10,2,3,1,2,1,7,27,23,22,23,20,16,0,5,1,17,2/5/17
2/12/17,1,8,58,7,79,3,5,39,13,21,3,88,2,21,7,79,12,46,19,10,3,20,9,12,22,89,47,70,11,26,1,2,2,59,3,19,15,20,36,2,7,22,3,9,10,61,15,21,7,10,3,10,2,4,1,2,1,7,27,21,18,15,31,17,0,8,0,24,2/12/17
2/19/17,1,9,62,7,76,3,5,41,11,20,3,91,2,20,7,82,12,48,19,10,3,20,8,11,20,92,47,64,10,31,1,2,2,62,3,31,35,34,50,2,4,32,9,10,9,62,11,30,8,11,4,13,3,3,1,3,1,14,35,21,19,21,29,16,0,2,4,24,2/19/17
2/26/17,1,9,61,8,70,3,6,42,16,20,3,93,2,19,7,81,12,47,19,11,4,19,9,11,18,95,46,62,9,26,1,3,2,60,4,28,34,43,68,2,5,30,9,11,6,55,10,34,9,14,3,15,3,3,1,3,1,0,17,32,24,20,25,19,1,8,4,36,2/26/17
3/5/17,1,8,62,7,74,3,6,43,12,20,3,89,2,18,7,80,12,48,20,11,4,19,8,11,20,95,48,64,11,27,1,2,2,61,4,31,34,29,55,5,2,30,8,13,9,64,13,22,11,16,4,12,3,2,1,3,1,10,25,25,17,17,32,25,3,14,8,28,3/5/17
3/12/17,1,8,61,6,72,3,5,41,10,19,2,86,2,18,7,76,10,46,17,10,3,19,7,8,18,83,43,63,9,28,1,3,2,60,5,52,37,30,62,2,3,36,5,9,8,64,8,56,9,15,3,11,2,3,1,3,1,5,43,20,15,24,21,26,3,6,6,27,3/12/17
3/19/17,1,8,60,6,72,3,5,42,13,19,3,84,2,16,7,77,11,47,18,10,4,19,8,10,19,90,45,63,11,26,1,2,2,60,5,32,32,34,55,2,5,37,12,11,10,62,10,34,11,14,3,15,4,2,1,2,1,5,29,29,21,32,33,21,2,5,6,45,3/19/17
3/26/17,1,8,61,6,74,3,5,45,13,19,3,86,2,17,6,79,11,46,19,10,4,19,8,9,18,93,46,63,10,28,1,2,2,64,5,24,41,38,71,4,5,35,5,10,13,70,10,24,11,12,4,13,3,2,1,3,1,0,29,24,15,19,26,27,0,5,3,50,3/26/17
4/2/17,1,8,60,6,74,3,5,45,11,20,3,88,2,17,7,77,11,47,18,11,4,18,8,9,20,91,45,65,10,28,1,2,2,65,8,22,29,31,59,2,3,28,6,16,7,81,11,31,14,12,4,11,3,3,1,3,1,10,31,41,22,22,31,21,2,5,11,39,4/2/17
4/9/17,1,7,62,6,75,3,5,43,10,22,3,88,2,19,7,80,11,46,18,10,4,18,8,8,22,87,43,70,9,35,1,2,2,66,5,32,34,42,65,2,5,34,8,11,8,81,7,32,13,14,3,12,3,2,1,3,1,5,40,24,19,23,23,40,2,7,2,38,4/9/17
4/16/17,1,8,61,6,72,3,5,44,10,22,3,87,2,19,7,81,12,45,18,10,4,19,8,9,21,87,44,63,8,28,1,2,2,65,3,28,37,32,56,5,3,38,4,16,6,63,16,36,11,14,3,13,3,3,1,3,1,0,45,29,11,16,21,18,2,2,7,32,4/16/17
4/23/17,1,8,61,6,72,3,6,45,13,19,3,83,2,15,7,82,11,50,21,11,4,19,8,10,21,92,47,63,10,26,1,2,2,65,6,35,36,27,75,5,4,39,9,14,7,62,14,27,16,16,3,16,3,2,1,3,1,11,26,45,19,22,24,22,2,2,7,29,4/23/17
4/30/17,1,8,60,6,75,3,6,46,10,17,3,87,2,14,6,82,11,49,19,10,4,20,8,10,19,91,47,66,9,27,1,2,2,68,7,34,32,21,67,4,3,39,7,13,11,68,12,28,11,13,3,13,3,2,1,3,2,11,26,34,20,16,25,24,2,6,5,37,4/30/17
5/7/17,1,7,61,6,81,3,6,43,10,16,3,85,2,14,6,80,11,47,18,10,4,19,8,10,20,87,45,68,9,26,1,2,2,67,5,24,33,30,63,5,6,32,4,11,8,84,12,30,10,19,2,16,4,3,1,3,1,5,31,19,18,26,26,19,0,5,2,28,5/7/17
5/14/17,1,7,57,5,78,2,5,41,14,14,2,84,2,14,6,78,10,45,16,9,4,18,7,7,23,74,41,63,9,26,1,2,2,63,6,29,29,34,60,1,5,35,15,10,3,57,13,17,9,14,2,13,3,2,1,3,1,6,36,18,11,15,31,14,2,4,8,47,5/14/17
5/21/17,1,6,57,5,74,2,4,40,12,13,2,84,2,15,6,80,11,46,16,9,4,19,7,6,21,71,41,63,9,27,1,1,2,63,4,23,51,28,63,2,4,40,4,14,5,64,6,26,8,15,3,11,3,3,1,4,1,12,18,30,13,18,18,18,2,3,8,41,5/21/17
5/28/17,0,6,55,5,78,2,4,40,10,12,2,88,2,14,6,80,9,44,15,8,4,19,7,5,20,70,38,64,9,33,1,2,1,56,4,23,40,24,65,2,3,35,4,10,8,86,9,24,12,13,3,15,3,3,1,3,1,0,49,26,19,20,19,27,2,3,6,27,5/28/17
6/4/17,1,6,57,5,77,2,4,42,11,14,2,91,2,13,6,80,9,46,15,9,4,18,6,5,21,76,40,65,8,31,1,2,2,60,7,25,26,34,65,5,3,32,5,14,5,73,11,19,8,17,2,13,2,2,1,3,2,0,46,37,21,21,14,29,2,3,7,34,6/4/17
6/11/17,0,6,55,5,80,2,4,42,11,14,1,90,2,13,6,80,8,45,15,9,4,19,6,5,22,73,38,64,8,32,1,2,2,64,3,29,34,33,68,2,5,44,9,11,4,67,9,28,10,13,2,14,3,2,1,3,1,0,21,25,20,28,17,37,2,3,3,42,6/11/17
6/18/17,0,7,54,6,81,2,4,42,11,14,1,88,2,12,6,86,8,48,15,9,4,19,6,4,20,73,40,65,8,35,1,2,2,61,10,31,40,30,61,1,4,41,5,9,7,65,5,28,8,19,2,13,3,3,1,3,1,6,33,27,14,18,18,30,0,5,3,32,6/18/17
6/25/17,0,6,55,5,83,2,4,41,12,13,1,94,2,13,7,81,8,48,15,9,4,20,6,5,20,72,37,66,9,36,1,2,1,63,7,21,33,29,65,2,3,39,3,7,6,75,11,41,11,16,2,11,3,3,1,4,1,14,21,21,16,19,24,50,4,6,5,32,6/25/17
7/2/17,0,6,54,5,87,2,4,39,9,11,1,96,3,12,7,80,8,45,14,8,4,19,7,4,19,68,37,69,8,34,1,2,1,56,9,19,31,28,66,2,6,24,6,12,4,66,6,37,12,15,3,12,3,3,1,2,1,0,19,35,15,20,22,27,0,5,5,22,7/2/17
7/9/17,0,7,54,5,85,2,4,43,11,14,1,96,2,13,7,81,8,49,15,10,4,19,7,4,19,75,38,68,8,32,1,1,2,64,9,23,31,31,65,2,4,35,4,15,2,87,7,19,5,13,1,17,3,2,1,3,2,8,30,38,17,17,23,25,0,5,7,43,7/9/17
7/16/17,0,7,56,5,86,2,4,43,11,14,1,93,2,13,6,82,8,52,15,10,4,19,6,5,21,76,38,66,8,31,1,2,2,60,5,25,36,21,68,2,3,40,4,7,6,75,13,34,13,19,2,14,3,3,1,3,1,0,37,52,10,22,20,26,0,0,7,38,7/16/17
7/23/17,0,7,56,6,87,2,3,42,11,14,1,91,2,13,6,81,8,48,15,9,4,19,6,4,22,76,39,65,9,36,1,1,2,60,6,38,30,35,66,8,1,41,3,8,3,52,9,27,4,17,2,15,3,3,1,4,1,7,26,47,18,31,30,33,2,3,3,31,7/23/17
7/30/17,0,8,55,6,85,2,4,43,14,13,1,96,2,12,6,84,7,46,15,10,4,19,6,4,20,72,38,69,9,36,1,2,2,57,7,61,42,25,86,2,4,27,6,18,8,77,14,29,13,16,3,12,3,3,2,3,1,0,36,32,13,28,11,39,0,5,6,27,7/30/17
8/6/17,0,7,56,5,83,2,4,43,13,12,1,93,2,12,6,78,7,47,15,9,4,19,7,4,22,74,38,67,8,31,1,1,2,58,5,33,19,39,76,3,6,38,9,11,2,72,13,38,9,16,3,16,3,3,1,2,1,7,36,22,16,18,20,30,2,3,6,24,8/6/17
8/13/17,0,6,56,5,80,2,3,42,13,13,2,89,2,12,6,78,8,44,15,9,4,18,6,4,24,68,40,67,9,36,1,1,2,55,2,27,38,29,70,3,1,32,6,8,2,71,8,25,7,14,2,10,3,2,1,3,1,11,28,21,15,28,18,38,4,0,3,25,8/13/17
8/20/17,0,7,54,5,76,2,3,39,12,12,2,83,2,12,6,76,9,44,15,8,4,17,6,6,23,67,39,65,8,34,1,1,2,54,6,33,37,16,60,2,0,28,4,8,7,66,8,40,8,16,3,11,2,2,1,3,1,7,30,34,12,29,21,27,0,3,9,25,8/20/17
8/27/17,0,6,54,5,71,2,4,40,10,13,3,86,2,12,6,87,10,44,16,9,3,17,7,7,23,74,44,65,8,32,1,2,2,53,4,28,31,18,60,2,4,28,7,10,7,57,12,32,11,22,2,11,3,2,1,4,1,0,6,19,15,20,23,27,4,0,3,24,8/27/17
9/3/17,0,7,54,5,69,2,4,35,9,12,3,87,2,12,6,77,10,43,16,9,4,17,7,8,23,70,44,61,8,31,1,2,3,49,5,32,23,20,62,1,3,28,5,5,4,55,14,38,11,11,2,12,2,2,1,2,1,0,49,18,16,22,17,23,0,0,3,27,9/3/17
9/10/17,0,7,58,5,71,3,4,37,11,15,3,100,2,13,6,80,11,45,17,10,4,18,8,10,23,78,46,61,8,28,1,2,3,56,2,27,26,21,58,1,2,24,4,7,10,100,8,35,5,16,2,10,2,3,1,2,1,0,38,13,23,30,20,30,4,0,8,26,9/10/17
9/17/17,1,7,59,5,70,2,5,38,11,15,3,91,2,13,6,79,12,48,18,10,4,19,9,12,24,85,48,65,9,31,1,2,2,82,4,28,33,27,71,3,5,32,4,9,6,71,13,31,14,16,4,11,3,2,1,3,1,0,33,23,14,22,36,26,2,3,6,44,9/17/17
9/24/17,1,8,59,5,71,3,5,38,10,15,3,90,2,14,6,79,12,50,18,10,4,18,9,14,25,88,46,64,9,30,1,8,3,63,4,28,40,28,69,2,3,34,5,13,12,78,12,20,5,18,2,11,2,3,1,3,1,0,51,47,19,27,24,30,0,16,4,34,9/24/17
10/1/17,1,8,60,9,71,3,5,37,11,16,3,91,2,13,6,77,12,55,18,10,4,18,9,15,27,85,45,62,10,28,1,3,2,59,2,25,46,39,63,0,4,32,5,9,7,69,8,40,11,17,3,15,3,3,1,2,1,7,59,26,16,21,24,24,0,7,0,36,10/1/17
10/8/17,1,8,63,7,74,3,5,37,10,16,3,90,2,14,6,76,11,54,19,10,4,19,8,13,24,86,45,66,9,32,1,2,2,56,6,21,35,33,76,3,8,34,2,9,9,63,13,43,7,13,3,17,3,2,1,3,1,10,36,16,18,21,29,25,2,6,3,38,10/8/17
10/15/17,1,8,61,6,73,3,5,38,13,17,3,87,2,14,6,76,12,53,19,10,4,18,8,15,23,89,48,67,8,28,1,5,2,59,2,25,56,27,64,2,2,39,5,14,3,65,10,44,13,19,4,17,4,3,1,3,1,7,38,28,13,32,23,19,0,9,6,34,10/15/17
10/22/17,1,7,60,6,70,3,5,37,13,16,3,85,2,14,6,79,12,51,19,11,4,18,9,13,23,90,47,68,9,26,1,3,2,57,5,20,30,32,74,2,3,37,9,12,7,63,13,46,8,15,4,14,3,3,1,3,1,0,35,46,20,30,27,15,4,6,3,28,10/22/17
10/29/17,1,7,58,6,69,3,5,36,11,16,3,91,2,14,6,78,12,47,19,11,4,18,9,12,26,90,45,71,9,25,1,2,2,56,7,33,32,29,60,6,5,31,4,13,5,73,10,38,12,13,3,12,3,3,0,3,1,7,30,37,22,27,27,24,2,3,3,28,10/29/17
11/5/17,1,7,60,7,71,3,5,37,11,15,3,89,2,14,6,78,11,47,19,10,3,18,9,12,25,88,46,70,8,34,1,3,2,53,5,25,36,28,54,4,4,31,6,9,3,82,10,32,12,11,2,12,3,2,1,4,2,0,23,20,13,24,21,22,0,9,0,23,11/5/17
11/12/17,1,7,61,7,70,3,6,37,12,16,3,88,2,14,6,80,13,47,19,10,3,19,9,13,23,89,47,72,8,26,1,3,2,57,6,37,34,27,58,5,3,26,3,8,6,84,17,54,8,16,3,11,4,3,1,3,2,0,37,41,29,25,22,20,0,6,3,36,11/12/17
11/19/17,0,6,56,5,72,2,5,27,9,11,2,84,2,13,5,73,11,41,14,8,3,15,6,6,22,68,39,83,7,27,1,2,2,42,3,17,40,22,65,3,4,29,2,7,3,63,9,35,7,15,4,12,3,2,1,3,1,0,35,43,13,36,19,17,2,7,3,14,11/19/17
11/26/17,1,8,60,8,65,3,6,37,16,15,3,92,2,15,7,84,14,46,19,11,4,18,9,10,24,93,46,93,8,29,1,2,2,54,10,38,40,49,63,5,6,32,9,11,8,72,21,48,10,18,5,12,3,3,1,3,2,7,57,27,25,47,18,25,2,3,4,42,11/26/17
12/3/17,1,8,60,8,67,3,6,35,14,15,3,89,2,15,7,84,13,46,20,11,3,18,9,11,26,95,47,80,9,25,1,2,2,56,3,31,41,59,62,3,4,38,6,8,7,72,16,36,9,17,5,12,3,3,1,4,1,0,22,22,16,29,21,21,2,7,4,37,12/3/17
12/10/17,1,7,57,8,69,3,6,34,13,14,3,90,2,16,7,86,14,46,19,11,3,17,9,12,26,89,47,83,8,26,1,2,2,53,2,27,28,48,62,2,3,29,7,9,8,78,8,62,11,17,3,12,4,3,1,3,2,10,48,31,16,22,25,34,2,5,3,41,12/10/17
